Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1363820,3768744,7088316,5484120,2022-12-26,21:33:49,170,1546390.6143271986,-112465.69858842817,-70104.9157387705,0.0
1364560,3767988,7088316,5483380,2022-12-26,21:33:54,175,1546414.9570859314,-112006.75408801701,-69848.20299791452,0.0
1365052,3767484,7088316,5482880,2022-12-26,21:33:59,180,1546439.2954277268,-111969.28112128789,-69418.01430643885,0.0
1365036,3767484,7088316,5482828,2022-12-26,21:34:04,185,1546463.6293587838,-112406.88024661317,-69020.74911217066,0.0
1365024,3767484,7088316,5482844,2022-12-26,21:34:09,190,1546487.958885584,-112054.7254953185,-69409.23339026561,0.0
1366516,3765976,7088316,5481356,2022-12-26,21:34:14,195,1546512.2840147808,-110534.31813864507,-69461.96587613574,0.0
1366500,3765976,7088316,5481372,2022-12-26,21:34:19,200,1546536.6047534095,-110699.41337565127,-69337.19137775828,0.0
1367004,3765472,7088316,5480868,2022-12-26,21:34:24,205,1546560.9211086445,-110889.47479425248,-68667.44631439191,0.0
1367984,3764464,7088316,5479888,2022-12-26,21:34:29,210,1546585.2330879383,-110391.42763035157,-68209.80545758666,0.0
1369228,3763204,7088316,5478636,2022-12-26,21:34:34,215,1546609.5406990298,-108919.7275450357,-68461.81315399404,0.0
1369200,3763204,7088316,5478652,2022-12-26,21:34:39,220,1546633.8439498905,-108846.78810708161,-68587.05584280891,0.0
1369188,3763204,7088316,5478676,2022-12-26,21:34:44,225,1546658.14284871,-109251.40679895888,-68218.73604975129,0.0
1369176,3763204,7088316,5478684,2022-12-26,21:34:49,230,1546682.4374039448,-108416.67855656071,-69089.75884738402,0.0
1369160,3763204,7088316,5478692,2022-12-26,21:34:54,235,1546706.7276243565,-109100.53454014398,-68446.19308421249,0.0
1369148,3763204,7088316,5478724,2022-12-26,21:35:00,240,1546731.0135188855,-108604.40569944074,-68978.60781944473,0.0
1369132,3763204,7088316,5478740,2022-12-26,21:35:05,245,1546755.2950967131,-108686.24218125183,-68937.05291546136,0.0
1369120,3763204,7088316,5478752,2022-12-26,21:35:10,250,1546779.5723673876,-109338.32517231537,-68321.24719507224,0.0
1369104,3763204,7088316,5478768,2022-12-26,21:35:15,255,1546803.8453405253,-109440.74615546591,-68259.09918505931,0.0
1369092,3763204,7088316,5478776,2022-12-26,21:35:20,260,1546828.114026141,-108800.33088490977,-68935.78314123116,0.0
1369076,3763204,7088316,5478780,2022-12-26,21:35:25,265,1546852.378434414,-109330.02061720107,-68446.35781721305,0.0
1369064,3763204,7088316,5478796,2022-12-26,21:35:30,270,1546876.6385760303,-109746.54055893468,-68066.09801709559,0.0
1369052,3763204,7088316,5478808,2022-12-26,21:35:35,275,1546900.8944613736,-109239.32532510055,-68609.56913627312,0.0
