Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1378176,3753956,7088316,5469144,2022-12-24,20:50:26,125,1475891.2393527487,-60414.95153008132,-37300.28782266751,0.0
1378476,3753640,7088316,5468844,2022-12-24,20:50:31,130,1475929.9989970108,-60413.5652653949,-37040.433731615776,0.0
1377112,3754992,7088316,5470208,2022-12-24,20:50:36,135,1475968.7519385216,-60098.044447950255,-38758.70749057131,0.0
1377028,3755060,7088316,5470292,2022-12-24,20:50:41,140,1476007.4981727526,-60415.3616236911,-38564.1365490614,0.0
1377016,3755060,7088316,5470304,2022-12-24,20:50:46,145,1476046.2376952746,-61221.89790777644,-37808.33978749812,0.0
1376988,3755060,7088316,5470332,2022-12-24,20:50:51,150,1476084.9705018068,-62031.7098001405,-37065.26070166635,0.0
1376652,3755404,7088316,5470668,2022-12-24,20:50:56,155,1476123.6965882173,-61700.65095690474,-37771.04563131253,0.0
1376032,3755988,7088316,5471276,2022-12-24,20:51:01,160,1476162.4159504243,-62627.059000423425,-37503.35695000086,0.0
1377036,3754980,7088316,5470280,2022-12-24,20:51:06,165,1476201.1285845365,-61967.06109816109,-37198.06748637534,0.0
1376848,3755152,7088316,5470468,2022-12-24,20:51:11,170,1476239.8344868065,-61916.66181588955,-37475.17267091689,0.0
1376824,3755160,7088316,5470488,2022-12-24,20:51:16,175,1476278.5336535054,-62356.7488190028,-37097.7848345025,0.0
1376740,3755236,7088316,5470576,2022-12-24,20:51:21,180,1476317.2260811783,-62832.44153449181,-36744.78454668657,0.0
1376468,3755492,7088316,5470848,2022-12-24,20:51:26,185,1476355.9117663442,-62101.01602085104,-37786.89574549324,0.0
1377636,3754312,7088316,5469680,2022-12-24,20:51:31,190,1476394.5907057968,-61489.74512384981,-37268.84558194713,0.0
1377620,3754312,7088316,5469696,2022-12-24,20:51:36,195,1476433.2628962877,-61675.9162261814,-37137.346670106286,0.0
1378604,3753304,7088316,5468712,2022-12-24,20:51:41,200,1476471.9283348885,-61220.29993608383,-36647.62839880469,0.0
1378840,3753052,7088316,5468476,2022-12-24,20:51:46,205,1476510.587018645,-60819.54332707744,-36851.04369156738,0.0
1378828,3753052,7088316,5468488,2022-12-24,20:51:51,210,1476549.238944734,-60901.75231384101,-36819.48663089308,0.0
1378812,3753052,7088316,5468492,2022-12-24,20:51:56,215,1476587.8841105578,-61223.15951319787,-36552.72459736001,0.0
1379300,3752552,7088316,5468012,2022-12-24,20:52:01,220,1476626.5225135612,-61210.40125454528,-36116.121259015985,0.0
1379288,3752552,7088316,5468028,2022-12-24,20:52:06,225,1476665.1541513084,-59867.308446533134,-37509.8457047753,0.0
1380024,3751796,7088316,5467280,2022-12-24,20:52:11,230,1476703.7790215116,-60220.714320554536,-36459.06470095692,0.0
1379508,3752300,7088316,5467796,2022-12-24,20:52:16,235,1476742.3971220334,-59923.73902998538,-37310.65809204802,0.0
1379992,3751800,7088316,5467316,2022-12-24,20:52:21,240,1476781.0084508213,-58973.26816566546,-37815.74028515583,0.0
1380484,3751296,7088316,5466832,2022-12-24,20:52:26,245,1476819.6130059315,-58972.8306736294,-37362.78233230207,0.0
1380972,3750792,7088316,5466336,2022-12-24,20:52:31,250,1476858.2107856406,-58672.85835296366,-37213.35243267706,0.0
1380960,3750792,7088316,5466356,2022-12-24,20:52:36,255,1476896.8017882141,-58868.310476875835,-37068.491311338264,0.0
1381200,3750540,7088316,5466112,2022-12-24,20:52:41,260,1476935.386012132,-58237.75016256848,-37497.63584956364,0.0
1381184,3750540,7088316,5466132,2022-12-24,20:52:46,265,1476973.9634559639,-59268.98508099939,-36520.97837496456,0.0
1380992,3750716,7088316,5466320,2022-12-24,20:52:52,270,1477012.5341184894,-58965.43167304245,-37055.102445446886,0.0
1380392,3751300,7088316,5466920,2022-12-24,20:52:57,275,1477051.097998481,-58331.1889278546,-38327.90907062637,0.0
1381144,3750548,7088316,5466168,2022-12-24,20:53:02,280,1477089.6550949253,-59035.39438734938,-36910.26070757583,0.0
1381872,3749792,7088316,5465436,2022-12-24,20:53:07,285,1477128.2054068993,-58720.480736753394,-36535.72467014589,0.0
1381856,3749792,7088316,5465460,2022-12-24,20:53:12,290,1477166.7489336573,-57399.545982925614,-37911.20295073162,0.0
1381840,3749792,7088316,5465468,2022-12-24,20:53:17,295,1477205.2856744633,-59053.31582607773,-36311.969848385546,0.0
1382552,3749068,7088316,5464768,2022-12-24,20:53:22,300,1477243.8156288378,-58430.49529099969,-36261.32033783803,0.0
1382792,3748816,7088316,5464516,2022-12-24,20:53:27,305,1477282.3387963744,-57653.577355700094,-36836.76144067431,0.0
1383280,3748312,7088316,5464036,2022-12-24,20:53:32,310,1477320.85517674,-58077.53782523335,-35963.31735150679,0.0
1384024,3747556,7088316,5463284,2022-12-24,20:53:37,315,1477359.3647697745,-57623.59185305202,-35711.77291672258,0.0
1384760,3746804,7088316,5462548,2022-12-24,20:53:42,320,1477397.8675754908,-56403.77359239856,-36234.093983092345,0.0
1385252,3746300,7088316,5462068,2022-12-24,20:53:47,325,1477436.3635939169,-56740.20198446607,-35444.16160945082,0.0
1385236,3746300,7088316,5462080,2022-12-24,20:53:52,330,1477474.852825235,-58007.65078930626,-34231.20203592884,0.0
1385224,3746300,7088316,5462096,2022-12-24,20:53:57,335,1477513.3352698237,-57260.30360667615,-35029.0316631475,0.0
1385208,3746300,7088316,5462108,2022-12-24,20:54:02,340,1477551.810928061,-56569.99174849699,-35773.819179564016,0.0
1384948,3746552,7088316,5462372,2022-12-24,20:54:07,345,1477590.2798006013,-57771.65959068648,-34870.620209914865,0.0
1399588,3731860,7088316,5447608,2022-12-24,20:54:12,350,1477628.7418879804,-48011.25068012894,-30029.49120785133,0.0
1465880,3665556,7088316,5381316,2022-12-24,20:54:17,355,1477667.1971910223,-6347.028411527467,-5440.168779494939,0.0
1467948,3663472,7088316,5379248,2022-12-24,20:54:22,360,1477705.6457106331,-5149.404169812985,-4608.241540820105,0.0
1466872,3664528,7088316,5380324,2022-12-24,20:54:27,365,1477744.0874477548,-6103.15537927201,-4768.93206848274,0.0
1467760,3663628,7088316,5379436,2022-12-24,20:54:32,370,1477782.522403204,-5789.0644936106855,-4233.457909593359,0.0
1471396,3659976,7088316,5375812,2022-12-24,20:54:37,375,1477820.9505779783,-3881.0355990872495,-2543.9149788909126,0.0
1471800,3659560,7088316,5375396,2022-12-24,20:54:42,380,1477859.3719730075,-2316.1537368559084,-3743.218236151617,0.0
1471792,3659552,7088316,5375400,2022-12-24,20:54:47,385,1477897.7865892274,-3547.4745072134747,-2558.312082013814,0.0
1474072,3657264,7088316,5373124,2022-12-24,20:54:52,390,1477936.1944276094,-2263.0203560757495,-1601.1740715336055,0.0
1476684,3654632,7088316,5370508,2022-12-24,20:54:57,395,1477974.5954891122,-869.4854041020519,-421.1100850100629,0.0
1477172,3654128,7088316,5370020,2022-12-24,20:55:02,400,1478012.989774704,-546.4893947474684,-294.5003799565602,0.0
1480748,3650540,7088316,5366444,2022-12-24,20:55:07,405,1478051.3772853361,1799.50900193342,897.1137127303518,0.0
1480588,3650664,7088316,5366596,2022-12-24,20:55:12,410,1478089.7580219384,1522.490262122503,975.7517159390263,0.0
1481888,3649352,7088316,5365284,2022-12-24,20:55:18,415,1478128.1319855056,2032.4536426465688,1727.4143718478736,0.0
1482448,3648776,7088316,5364736,2022-12-24,20:55:23,420,1478166.4991769714,3113.30076646111,1168.2000565675553,0.0
1483680,3647532,7088316,5363504,2022-12-24,20:55:28,425,1478204.8595972678,3683.3211987817385,1791.8192039504647,0.0
1482220,3648976,7088316,5364960,2022-12-24,20:55:33,430,1478243.2132472983,2615.84100156137,1360.9457511403598,0.0
1482892,3648288,7088316,5364288,2022-12-24,20:55:38,435,1478281.560128001,3297.8240384121245,1312.6158335867804,0.0
1483932,3647236,7088316,5363244,2022-12-24,20:55:43,440,1478319.9002402944,4264.967323496832,1347.1324362086598,0.0
1484008,3647144,7088316,5363172,2022-12-24,20:55:48,445,1478358.2335850655,3670.5683914361507,1979.1980234982911,0.0
1483244,3647896,7088316,5363924,2022-12-24,20:55:53,450,1478396.5601631997,4148.183704671543,699.2561321288813,0.0
1483392,3647728,7088316,5363784,2022-12-24,20:55:58,455,1478434.8799756083,3444.430323288526,1512.6897011031397,0.0
1481656,3649456,7088316,5365512,2022-12-24,20:56:03,460,1478473.1930231033,2752.726857811022,430.080119085731,0.0
1485764,3645332,7088316,5361420,2022-12-24,20:56:08,465,1478511.4993066166,5504.258980973218,1748.2417124102358,0.0
1484344,3646740,7088316,5362844,2022-12-24,20:56:13,470,1478549.7988270032,4310.354680086609,1483.8464929100592,0.0
1482656,3648416,7088316,5364536,2022-12-24,20:56:18,475,1478588.0915850946,4084.9226542363003,-17.014239330776036,0.0
1481404,3649664,7088316,5365788,2022-12-24,20:56:23,480,1478626.3775817528,2849.393617180289,-71.77119893301278,0.0
1484288,3646760,7088316,5362904,2022-12-24,20:56:28,485,1478664.6568177762,5571.00337812711,52.33980409684591,0.0
1482064,3648964,7088316,5365120,2022-12-24,20:56:33,490,1478702.9292940642,4106.217624818249,-745.146918882383,0.0
1482972,3648044,7088316,5364212,2022-12-24,20:56:38,495,1478741.195011406,4347.123184033842,-116.31819543987513,0.0
1485168,3645832,7088316,5362016,2022-12-24,20:56:43,500,1478779.4539706723,6120.055374740003,268.49065458774567,0.0
1483664,3647324,7088316,5363520,2022-12-24,20:56:48,505,1478817.706172664,4467.073370049118,379.2204572870396,0.0
1484720,3646264,7088316,5362464,2022-12-24,20:56:53,510,1478855.9516182241,5299.844439303611,564.203942472348,0.0
1483728,3647244,7088316,5363488,2022-12-24,20:56:58,515,1478894.1903081767,4182.108079669488,651.701612153789,0.0
1484228,3646728,7088316,5362996,2022-12-24,20:57:03,520,1478932.422243309,5062.138480458118,233.4392762328498,0.0
1483272,3647668,7088316,5363952,2022-12-24,20:57:08,525,1478970.6474244683,4090.298562374415,211.0540131572634,0.0
1483060,3647868,7088316,5364164,2022-12-24,20:57:13,530,1479008.8658524603,3837.1569430913232,213.97720444831066,0.0
1484308,3646604,7088316,5362916,2022-12-24,20:57:18,535,1479047.0775280348,5789.496005036414,-528.573533071205,0.0
1484184,3646716,7088316,5363040,2022-12-24,20:57:23,540,1479085.282452067,4117.6003525303095,981.1171954027377,0.0
1482576,3648312,7088316,5364648,2022-12-24,20:57:28,545,1479123.4806253216,3941.1192209605333,-488.59984628204256,0.0
1484652,3646220,7088316,5362576,2022-12-24,20:57:34,550,1479161.6720486083,4963.834079154308,526.4938722373918,0.0
1483964,3646892,7088316,5363264,2022-12-24,20:57:39,555,1479199.8567226839,4549.646455044434,214.4968222717289,0.0
1484188,3646656,7088316,5363040,2022-12-24,20:57:44,560,1479238.0346483644,5221.644138981506,-271.678787345998,0.0
1485504,3645332,7088316,5361724,2022-12-24,20:57:49,565,1479276.2058264003,5943.610555881531,284.1836177180521,0.0
1484284,3646528,7088316,5362940,2022-12-24,20:57:54,570,1479314.3702576046,3965.0438005206915,1004.585941874655,0.0
1482832,3647968,7088316,5364392,2022-12-24,20:57:59,575,1479352.5279427543,3553.946945008639,-74.4748877629172,0.0
1483540,3647244,7088316,5363684,2022-12-24,20:58:04,580,1479390.6788825917,3442.013070713513,707.308046694845,0.0
1484400,3646372,7088316,5362816,2022-12-24,20:58:09,585,1479428.8230779096,3782.5748651031754,1188.602056987118,0.0
1483368,3647388,7088316,5363848,2022-12-24,20:58:14,590,1479466.9605294752,2937.29026506882,963.7492054558825,0.0
1484860,3645884,7088316,5362356,2022-12-24,20:58:19,595,1479505.0912379934,4851.983605408977,502.9251565975137,0.0
1487072,3643656,7088316,5360144,2022-12-24,20:58:24,600,1479543.21520427,5420.475914247447,2108.308881482575,1.0
1488308,3642408,7088316,5358912,2022-12-24,20:58:29,605,1479581.3324290519,6704.099221208786,2022.5683497393038,1.0
1486516,3644188,7088316,5360708,2022-12-24,20:58:34,610,1479619.442913052,5156.458127793637,1740.0989591544494,1.0
1487648,3643040,7088316,5359576,2022-12-24,20:58:39,615,1479657.5466569765,5933.714902910583,2056.7384401129093,1.0
1487820,3642856,7088316,5359400,2022-12-24,20:58:44,620,1479695.643661578,5910.659722661717,2213.6966157602146,1.0
1486524,3644136,7088316,5360696,2022-12-24,20:58:49,625,1479733.7339275363,4739.899274099627,2050.3667983640917,1.0
1486924,3643728,7088316,5360292,2022-12-24,20:58:54,630,1479771.8174555835,5589.594247531553,1562.5882968849037,1.0
1485196,3645436,7088316,5362020,2022-12-24,20:58:59,635,1479809.8942463351,4095.8882143794117,1290.2175392855424,1.0
1487524,3643084,7088316,5359692,2022-12-24,20:59:04,640,1479847.9643005633,5471.5733494395845,2204.462349997135,1.0
1484424,3646164,7088316,5362784,2022-12-24,20:59:09,645,1479886.027618877,3890.956862509366,647.0155186138581,1.0
1486220,3644356,7088316,5360988,2022-12-24,20:59:14,650,1479924.0842019676,4478.884028607073,1817.0317694253754,1.0
1487908,3642656,7088316,5359312,2022-12-24,20:59:19,655,1479962.1340504754,6232.4993631899815,1713.3665863345377,1.0
