Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1378224,3369784,7088316,5463780,2022-12-22,14:41:20,245,1399490.9570055,-8977.905769662093,-12289.051235838095,0.0
1378208,3369784,7088316,5463788,2022-12-22,14:41:25,250,1399499.300296847,-8887.317694740706,-12403.982602106407,0.0
1378196,3369784,7088316,5463800,2022-12-22,14:41:30,255,1399507.6411980065,-8679.072435977927,-12632.56876202859,0.0
1378680,3369280,7088316,5463324,2022-12-22,14:41:35,260,1399515.9797091647,-8925.860700763858,-11910.119008400943,0.0
1378668,3369280,7088316,5463332,2022-12-22,14:41:40,265,1399524.3158305036,-9248.478193405863,-11607.837637097808,0.0
1378656,3369280,7088316,5463336,2022-12-22,14:41:45,270,1399532.6495623256,-9304.98118188869,-11571.668380436953,0.0
1378888,3369028,7088316,5463116,2022-12-22,14:41:50,275,1399540.9809048509,-9350.150978373571,-11302.82992647728,0.0
1379104,3368804,7088316,5462896,2022-12-22,14:41:55,280,1399549.3098584437,-8705.81068283976,-11739.499175603967,0.0
1379344,3368556,7088316,5462656,2022-12-22,14:42:00,285,1399557.63642343,-8591.01647698251,-11622.619946447434,0.0
1379320,3368556,7088316,5462680,2022-12-22,14:42:05,290,1399565.9606002534,-8545.387725870376,-11700.57287438307,0.0
1379304,3368556,7088316,5462692,2022-12-22,14:42:10,295,1399574.2823893134,-8629.787802804682,-11640.494586508721,0.0
1379288,3368556,7088316,5462708,2022-12-22,14:42:15,300,1399582.601791132,-8940.499322979642,-11354.102468152298,0.0
1379704,3368108,7088316,5462292,2022-12-22,14:42:20,305,1399590.9188062276,-8703.86575042701,-11183.053055800498,0.0
1381944,3365868,7088316,5460052,2022-12-22,14:42:25,310,1399599.2334351572,-7355.106443478062,-10300.126991679193,0.0
1382812,3364972,7088316,5459180,2022-12-22,14:42:30,315,1399607.5456784999,-6972.2340024772175,-9823.311676022597,0.0
1384824,3362956,7088316,5457172,2022-12-22,14:42:35,320,1399615.8555369603,-5134.030552574898,-9657.8249843854,0.0
1385920,3361836,7088316,5456072,2022-12-22,14:42:40,325,1399624.1630111905,-4477.225355483772,-9226.937655706657,0.0
1386364,3361388,7088316,5455632,2022-12-22,14:42:45,330,1399632.4681018617,-4352.848806135443,-8915.619295726297,0.0
1387460,3360268,7088316,5454524,2022-12-22,14:42:50,335,1399640.7708097678,-4156.020949600699,-8024.749860167038,0.0
1389460,3358252,7088316,5452520,2022-12-22,14:42:55,340,1399649.0711356362,-2733.9407306880153,-7455.130404948257,0.0
1390568,3357132,7088316,5451416,2022-12-22,14:43:00,345,1399657.3690803328,-2215.111859514371,-6874.257220818428,0.0
1392400,3355284,7088316,5449580,2022-12-22,14:43:05,350,1399665.6646446292,-865.2559568006972,-6400.408687828574,0.0
1394088,3353584,7088316,5447908,2022-12-22,14:43:10,355,1399673.9578293925,128.93930262090737,-5714.897132013459,0.0
1394408,3353252,7088316,5447584,2022-12-22,14:43:15,360,1399682.24863548,142.90962722633284,-5417.158262706362,0.0
1395224,3352412,7088316,5446776,2022-12-22,14:43:20,365,1399690.5370638394,1029.0608724536478,-5495.59793629311,0.0
1395268,3352360,7088316,5446728,2022-12-22,14:43:26,370,1399698.8231153416,313.3470657357377,-4744.170181077439,0.0
1394444,3353168,7088316,5447556,2022-12-22,14:43:31,375,1399707.1067909389,-17.577975952020836,-5245.528814986814,0.0
1394460,3353152,7088316,5447600,2022-12-22,14:43:36,380,1399715.388091588,24.19457582529006,-5279.582667413168,0.0
1395860,3351724,7088316,5446192,2022-12-22,14:43:41,385,1399723.6670182263,1175.132655838256,-5038.7996740646195,0.0
1394616,3352956,7088316,5447440,2022-12-22,14:43:46,390,1399731.9435718975,659.5931818138519,-5775.536753711291,0.0
1394444,3353112,7088316,5447604,2022-12-22,14:43:51,395,1399740.217753553,951.4955742488518,-6247.713327802019,0.0
1395668,3351880,7088316,5446384,2022-12-22,14:43:56,400,1399748.4895642698,1622.7252378579517,-5703.214802127797,0.0
1396084,3351448,7088316,5445964,2022-12-22,14:44:01,405,1399756.7590050655,2092.877999324684,-5765.637004390126,0.0
1396596,3350920,7088316,5445452,2022-12-22,14:44:06,410,1399765.0260770072,2477.613948183229,-5646.640025190311,0.0
1396060,3351456,7088316,5446000,2022-12-22,14:44:11,415,1399773.290781202,2169.1760832380064,-5882.4668644401245,0.0
1395772,3351716,7088316,5446276,2022-12-22,14:44:16,420,1399781.5531187681,2098.7488717232804,-6108.301990491338,0.0
1396116,3351372,7088316,5445876,2022-12-22,14:44:21,425,1399789.813090827,1918.7748098120117,-5592.587900639046,0.0
1398124,3349332,7088316,5443852,2022-12-22,14:44:26,430,1399798.070698516,3745.656841211588,-5419.727539727464,0.0
1398668,3348776,7088316,5443312,2022-12-22,14:44:31,435,1399806.3259430188,4197.408656312764,-5335.734599331627,0.0
1398440,3348988,7088316,5443536,2022-12-22,14:44:36,440,1399814.578825543,4111.59482935739,-5486.173654900398,0.0
1398748,3348668,7088316,5443240,2022-12-22,14:44:41,445,1399822.8293472969,4482.231822495185,-5557.061169791967,0.0
1399320,3348084,7088316,5442672,2022-12-22,14:44:46,450,1399831.0775094945,5401.5509956061005,-5912.628505100496,0.0
1400024,3347360,7088316,5441960,2022-12-22,14:44:51,455,1399839.3233134076,5630.97536845554,-5446.298681863118,0.0
1399652,3347724,7088316,5442340,2022-12-22,14:44:56,460,1399847.5667602797,5850.33146058536,-6045.898220865056,0.0
1399876,3347484,7088316,5442116,2022-12-22,14:45:01,465,1399855.8078514352,5035.708345027708,-5015.516196462791,0.0
1400024,3347328,7088316,5441968,2022-12-22,14:45:06,470,1399864.0465881862,4480.097565354546,-4320.144153540721,0.0
1400104,3347232,7088316,5441884,2022-12-22,14:45:11,475,1399872.2829718469,4701.733682296105,-4470.016654142877,0.0
1401160,3346168,7088316,5440832,2022-12-22,14:45:16,480,1399880.5170037874,5486.624853790445,-4207.1418575779535,0.0
1400788,3346516,7088316,5441196,2022-12-22,14:45:21,485,1399888.7486853222,5113.646099484316,-4214.394784806529,0.0
1401232,3346060,7088316,5440756,2022-12-22,14:45:26,490,1399896.9780178939,5279.891864951813,-3944.8698828455526,0.0
1402752,3344528,7088316,5439236,2022-12-22,14:45:31,495,1399905.2050028485,6236.659691233693,-3389.864694082178,0.0
1403268,3343996,7088316,5438720,2022-12-22,14:45:36,500,1399913.4296416347,6487.405452859401,-3132.8350944940466,0.0
1403184,3344068,7088316,5438804,2022-12-22,14:45:41,505,1399921.6519356517,6363.577015354465,-3101.2289510061964,0.0
1403584,3343636,7088316,5438396,2022-12-22,14:45:46,510,1399929.8718863241,6760.191245356827,-3106.063131680945,0.0
